exp;ntasks;memory;dispatch;wait
single;11;8192;98542;645400
single;11;8192;98401;647113
single;11;8192;98453;646957
single;11;8192;98486;647367
single;11;8192;98523;644474
single;11;8192;98454;648056
single;11;8192;98551;645347
single;11;8192;98339;647031
single;11;8192;98495;646339
single;11;8192;98371;643954
single;11;8192;98376;647335
single;11;8192;98338;645143
single;11;8192;98435;645288
single;11;8192;98488;645266
single;11;8192;98588;646956
single;11;8192;98496;648160
single;11;8192;98477;645390
single;11;8192;98524;647764
single;11;8192;98390;645997
single;11;8192;98428;647075
single;12;8192;106667;728948
single;12;8192;106559;724584
single;12;8192;106557;724458
single;12;8192;106622;724609
single;12;8192;106606;724288
single;12;8192;106642;723606
single;12;8192;106565;726830
single;12;8192;106491;724551
single;12;8192;106536;724502
single;12;8192;106712;724281
single;12;8192;106701;724484
single;12;8192;106597;724284
single;12;8192;106586;724330
single;12;8192;106519;724684
single;12;8192;106607;724358
single;12;8192;106670;723665
single;12;8192;106647;724157
single;12;8192;106576;724384
single;12;8192;106621;723783
single;12;8192;106528;724266
single;12;8192;106485;724396
single;12;8192;106564;724428
single;12;8192;106614;724272
single;12;8192;106441;724507
single;12;8192;106475;724517
single;12;8192;106670;724536
single;12;8192;106514;724566
single;12;8192;106585;724484
single;12;8192;106621;724328
single;12;8192;106605;724583
single;12;8192;106677;725328
single;12;8192;106590;723769
single;12;8192;106605;724288
single;12;8192;106639;724546
single;12;8192;106570;725972
single;12;8192;106569;724588
single;12;8192;106610;724315
single;12;8192;106550;724458
single;12;8192;106539;724546
single;12;8192;106557;724462
single;12;8192;106669;724109
single;12;8192;106656;723700
single;12;8192;106614;724396
single;12;8192;106684;724354
single;12;8192;106608;724583
single;12;8192;106634;725674
single;12;8192;106751;713551
single;12;8192;106602;724431
single;12;8192;106586;724445
single;12;8192;106588;724515
single;13;8192;117641;775323
single;13;8192;114455;796626
single;13;8192;114223;768222
single;13;8192;114398;797251
single;13;8192;114210;768298
single;13;8192;112885;798694
single;13;8192;114272;773619
single;13;8192;114258;772666
single;13;8192;114242;776743
single;13;8192;114177;773035
single;13;8192;114180;772306
single;13;8192;112943;799010
single;13;8192;114267;771136
single;13;8192;114262;776608
single;13;8192;114281;775092
single;13;8192;114284;772756
single;13;8192;114247;771364
single;13;8192;114438;796462
single;13;8192;114187;769558
single;13;8192;114354;796376
single;13;8192;114281;771128
single;13;8192;114197;777362
single;13;8192;114276;770151
single;13;8192;113030;799461
single;13;8192;114201;770284
single;13;8192;113016;798567
single;13;8192;114169;770466
single;13;8192;114308;797268
single;13;8192;114224;771024
single;13;8192;114319;772061
single;13;8192;114296;797295
single;13;8192;114322;773590
single;13;8192;114320;769671
